states,x,y
Andhra Pradesh,-125,-218
Arunachal Pradesh,238,174
Assam,211,105
Bihar,73,69
Chhattisgarh,-17,-24
Goa,-228,-205
Gujarat,-280,0
Haryana,-167,175
Himachal Pradesh,-145,241
Jharkhand,50,25
Karnataka,-186,-255
Kerala,-168,-355
Madhya Pradesh,-150,10
Maharashtra,-205,-91
Manipur,270,62
Meghalaya,185,79
Mizoram,253,27
Nagaland,287,100
Odisha,42,-69
Punjab,-177,214
Rajasthan,-240,100
Sikkim,144,130
Tamil Nadu,-118,-309
Telangana,-101,-142
Tripura,197,33
Uttarakhand,-103,197
Uttar Pradesh,-63,104
West Bengal,129,1
